id,category,issue,polarity,source,language,text,reference,group_id,cleaned_text
1,intrinsic,notation struggle,neg,real,english,She used handwritten overheads the whole quarter which included abbreviations that no one understood.,test,1,She used handwritten overheads the whole quarter which included abbreviations that no one understood.
3,intrinsic,notation struggle,neg,real,english,This course is taught in an archaic language that no one uses and no one understands.,waterloo,3,This course is taught in an archaic language that no one uses and no one understands.
4,intrinsic,notation struggle,neg,real,english,But little annoying that you have to do Design Recipe (especially writing an explanation for codes). There is no loop in DrRacket so being able to understand recursion is important,waterloo,4,But little annoying that you have to do Design Recipe (especially writing an explanation for codes). There is no loop in DrRacket so being able to understand recursion is important
6,intrinsic,notation struggle,neg,real,english,"Definitely a challenging course, especially if you have no prior experience with writing formal proofs.",waterloo,6,"Definitely a challenging course, especially if you have no prior experience with writing formal proofs."
7,intrinsic,notation struggle,neg,real,english,"I am taking statistics from her, which is like a foreign language to begin with",train,7,"I am taking statistics from her, which is like a foreign language to begin with"
9,intrinsic,notation struggle,neg,real,english,"The math involved in this course may not be difficult but when the formulas and constants aren't explained well, it is impossible to do.",waterloo,9,"The math involved in this course may not be difficult but when the formulas and constants aren't explained well, it is impossible to do."
10,intrinsic,notation struggle,neg,real,english,"Try to be a little flexible with your understanding of BEDMAS, as Legge sometimes doesn't follow it (for example, in one assignment, he claimed ab/cd == ab/(cd))",waterloo,10,"Try to be a little flexible with your understanding of BEDMAS, as Legge sometimes doesn't follow it (for example, in one assignment, he claimed ab/cd == ab/(cd))"
11,intrinsic,notation struggle,neg,real,english,Pretty much the entire course is about random variables. The content gets a bit dry after awhile.,waterloo,11,Pretty much the entire course is about random variables. The content gets a bit dry after awhile.
12,intrinsic,notation struggle,neg,real,english,getting used to the whole dev c++ environment and debugging compiler errors is daunting for someone who hasn't programmed before. Make sure one of your friends is really good at programming.,waterloo,12,getting used to the whole dev c++ environment and debugging compiler errors is daunting for someone who hasn't programmed before. Make sure one of your friends is really good at programming.
13,intrinsic,notation struggle,neg,real,english,The concept checks start off easy but then get a lot more complex due to all the string and list methods we use.,waterloo,13,The concept checks start off easy but then get a lot more complex due to all the string and list methods we use.
14,intrinsic,notation struggle,neg,real,english,"The C questions are a lot more doable, but beware of the memory and pointer stuff, or your program won't even compile.",waterloo,14,"The C questions are a lot more doable, but beware of the memory and pointer stuff, or your program won't even compile."
15,intrinsic,notation struggle,neg,real,english,"You won't lose points on exams because you can't do algorithms, but because you forgot to include <stdio.h> or include const or forget a semi-colon.",waterloo,15,"You won't lose points on exams because you can't do algorithms, but because you forgot to include <stdio.h> or include const or forget a semi-colon."
16,intrinsic,notation struggle,neg,real,english,"Make you sure you have C memory model and pointers down cold. Also, get good at reading complex C declarations using the right-left rule because they will throw some seemingly-random gibberish like char (*(*x())[5])(); at you.",waterloo,16,"Make you sure you have C memory model and pointers down cold. Also, get good at reading complex C declarations using the right-left rule because they will throw some seemingly-random gibberish like char (*(*x())[5])(); at you."
18,intrinsic,notation struggle,neg,real,english,"Taught in a very functional-programming way, which made it difficult for me (I didn't learn Scheme).",waterloo,18,"Taught in a very functional-programming way, which made it difficult for me (I didn't learn Scheme)."
19,intrinsic,notation struggle,neg,real,english,"I went into the course without any prior knowledge and it definitely was hard learning both Scala, MIPS and computer architecture at the same time.",waterloo,19,"I went into the course without any prior knowledge and it definitely was hard learning both Scala, MIPS and computer architecture at the same time."
21,intrinsic,notation struggle,neg,real,english,"Pretty light course when I took it, although you had to write a fair amount of SQL queries which could be tough for someone new to it.",waterloo,21,"Pretty light course when I took it, although you had to write a fair amount of SQL queries which could be tough for someone new to it."
23,intrinsic,notation struggle,neg,real,english,Biggest negative is uC++ - you'll lose serious marks if you don't memorize the syntax and peculiarities of this toy language that literally nobody uses for real work.,waterloo,23,Biggest negative is uC++ - you'll lose serious marks if you don't memorize the syntax and peculiarities of this toy language that literally nobody uses for real work.
24,intrinsic,notation struggle,neg,real,english,"The syntax is pretty bad, and there is essentially no documentation or help out there except for the documentation our professor has.",waterloo,24,"The syntax is pretty bad, and there is essentially no documentation or help out there except for the documentation our professor has."
25,intrinsic,notation struggle,neg,real,english,"While most of the theory taught in this course is useful, a large amount of time is devoted to uC++, an extension to C++ that appears to have no users outside Waterloo. Memorizing an API that you will never use again is a waste of time. This course could easily be taught with standard languages, and would be much improved.",waterloo,25,"While most of the theory taught in this course is useful, a large amount of time is devoted to uC++, an extension to C++ that appears to have no users outside Waterloo. Memorizing an API that you will never use again is a waste of time. This course could easily be taught with standard languages, and would be much improved."
27,intrinsic,notation struggle,neg,real,english,The code on the slides had so many nested brackets and parentheses that I couldn't even tell which function belonged to what anymore.,,27,The code on the slides had so many nested brackets and parentheses that I couldn't even tell which function belonged to what anymore.
29,intrinsic,notation struggle,neg,real,english,Writing the actual step-by-step logic in formal math symbols for our homework is way harder than just explaining the solution in normal words.,,29,Writing the actual step-by-step logic in formal math symbols for our homework is way harder than just explaining the solution in normal words.
30,intrinsic,notation struggle,neg,real,english,My brain hurts trying to read the state transition tables because all the weird Greek letters and inputs just blend together into a giant wall of text.,,30,My brain hurts trying to read the state transition tables because all the weird Greek letters and inputs just blend together into a giant wall of text.
31,intrinsic,notation struggle,neg,real,english,The syntax for the assembly instructions in our class is so abstract that I keep mixing up the registers and the actual values.,,31,The syntax for the assembly instructions in our class is so abstract that I keep mixing up the registers and the actual values.
33,intrinsic,notation struggle,neg,real,english,The way the professor writes the database schema definitions with all those underlines and dashed lines makes it so hard to figure out which one is the foreign key.,,33,The way the professor writes the database schema definitions with all those underlines and dashed lines makes it so hard to figure out which one is the foreign key.
34,intrinsic,notation struggle,neg,real,english,Trying to parse the regular expression patterns is impossible because it just looks like someone smashed their hands on the keyboard.,,34,Trying to parse the regular expression patterns is impossible because it just looks like someone smashed their hands on the keyboard.
35,intrinsic,notation struggle,neg,real,english,"I understand the main concept of the lesson, but the mathematical notation used for the probability distributions completely throws me off during exams.",,35,"I understand the main concept of the lesson, but the mathematical notation used for the probability distributions completely throws me off during exams."
36,intrinsic,notation struggle,neg,real,english,The syntax for declaring multi-dimensional arrays and passing them to functions is so overly complicated that my code never compiles on the first try.,,36,The syntax for declaring multi-dimensional arrays and passing them to functions is so overly complicated that my code never compiles on the first try.
37,intrinsic,notation struggle,neg,real,english,I spent hours trying to decode what the math symbols in the formulas meant before I could even start solving the actual problem set.,,37,I spent hours trying to decode what the math symbols in the formulas meant before I could even start solving the actual problem set.
38,intrinsic,notation struggle,neg,real,english,The professor uses so many strange abbreviations and formal notations on the whiteboard that my notes look like a bunch of random hieroglyphics.,,38,The professor uses so many strange abbreviations and formal notations on the whiteboard that my notes look like a bunch of random hieroglyphics.
39,intrinsic,notation struggle,neg,real,english,Understanding the grammar rules for the compiler design lecture is so brutal because the arrows and pipes format is highly confusing to read.,,39,Understanding the grammar rules for the compiler design lecture is so brutal because the arrows and pipes format is highly confusing to read.
40,intrinsic,notation struggle,neg,real,english,I hate how a single misplaced dot or arrow operator in our exercises can instantly break the entire script.,,40,I hate how a single misplaced dot or arrow operator in our exercises can instantly break the entire script.
41,intrinsic,notation struggle,neg,real,english,"The logical equivalence proofs in are so tedious because if you mess up one tiny shorthand symbol at the start, everything else goes wrong.",,41,"The logical equivalence proofs in are so tedious because if you mess up one tiny shorthand symbol at the start, everything else goes wrong."
45,intrinsic,notation struggle,neg,real,english,I always get mixed up with the logical operators like the ampersands (&) and vertical bars (|) when we do complex conditional statements.,,45,I always get mixed up with the logical operators like the ampersands (&) and vertical bars (|) when we do complex conditional statements.
46,intrinsic,notation struggle,neg,real,english,Reading the formal grammar notation makes me want to drop the class because the syntax is just so counter-intuitive.,,46,Reading the formal grammar notation makes me want to drop the class because the syntax is just so counter-intuitive.
47,intrinsic,notation struggle,neg,real,english,The way the professor writes out the pointer arithmetic on the whiteboard makes it look like a math problem instead of an actual coding lesson.,,47,The way the professor writes out the pointer arithmetic on the whiteboard makes it look like a math problem instead of an actual coding lesson.
48,intrinsic,notation struggle,neg,real,english,I struggled so much with the relational algebra symbols because the symbols look way too similar to each other.,,48,I struggled so much with the relational algebra symbols because the symbols look way too similar to each other.
50,intrinsic,notation struggle,neg,real,english,Trying to memorize the exact formatting and structural syntax for the configuration files is honestly a nightmare.,,50,Trying to memorize the exact formatting and structural syntax for the configuration files is honestly a nightmare.
51,intrinsic,notation struggle,neg,real,english,CNT101 is so abstract because the formulas just pop out of nowhere without any explanation on how to use them.,,51,CNT101 is so abstract because the formulas just pop out of nowhere without any explanation on how to use them.
52,intrinsic,notation struggle,neg,real,english,I don't get why we are using such an old programming language for CSP107 that doesn't even have modern documentation online.,,52,I don't get why we are using such an old programming language for CSP107 that doesn't even have modern documentation online.
53,intrinsic,notation struggle,neg,real,english,The instructor just copies long mathematical proofs on the whiteboard and expects us to automatically memorize the variables.,,53,The instructor just copies long mathematical proofs on the whiteboard and expects us to automatically memorize the variables.
54,intrinsic,notation struggle,neg,real,english,It feels like we are doing advanced physics with all these unexplained constants thrown into the coding logic.,,54,It feels like we are doing advanced physics with all these unexplained constants thrown into the coding logic.
55,intrinsic,notation struggle,neg,real,english,The manual given to us uses weird symbols that the professor never bothers to define during the discussion.,,55,The manual given to us uses weird symbols that the professor never bothers to define during the discussion.
56,intrinsic,notation struggle,neg,real,english,CSP106 is basically a math class disguised as a tech course but the equations are never broken down properly.,,56,CSP106 is basically a math class disguised as a tech course but the equations are never broken down properly.
60,intrinsic,notation struggle,neg,real,english,The teacher keeps using jargon from his previous industry job that none of us undergrads have ever heard of.,,60,The teacher keeps using jargon from his previous industry job that none of us undergrads have ever heard of.
62,intrinsic,notation struggle,neg,real,english,The notations used in the homework are completely different from the ones showed during the actual meeting.,,62,The notations used in the homework are completely different from the ones showed during the actual meeting.
63,intrinsic,notation struggle,neg,real,english,It is like trying to read a script written in ancient hieroglyphics because the syntax is just so messy and outdated.,,63,It is like trying to read a script written in ancient hieroglyphics because the syntax is just so messy and outdated.
64,intrinsic,notation struggle,neg,real,english,They are forcing us to use a command line tool that has a super confusing interface and no guide at all.,,64,They are forcing us to use a command line tool that has a super confusing interface and no guide at all.
67,intrinsic,notation struggle,neg,real,english,I am so lost because the logic gates are presented with no practical context on how they actually work.,,67,I am so lost because the logic gates are presented with no practical context on how they actually work.
