id,category,issue,polarity,source,language,text,reference,group_id
00001,intrinsic,notation struggle,neg,real,english,She used handwritten overheads the whole quarter which included abbreviations that no one understood.,test,1
00002,intrinsic,notation struggle,neg,real,english,"One of my least favourite courses. Although things were nicely organized, Racket was such an annoying language to use. The one tangible benefit I felt after using Racket was feeling more comfortable with recursion.",waterloo,2
00003,intrinsic,notation struggle,neg,real,english,This course is taught in an archaic language that no one uses and no one understands.,waterloo,3
00004,intrinsic,notation struggle,neg,real,english,But little annoying that you have to do Design Recipe (especially writing an explanation for codes). There is no loop in DrRacket so being able to understand recursion is important,waterloo,4
00005,intrinsic,notation struggle,neg,real,english,"bro i hate design recipe, your lose marks for nothing!",waterloo,5
00006,intrinsic,notation struggle,neg,real,english,"Definitely a challenging course, especially if you have no prior experience with writing formal proofs.",waterloo,6
00007,intrinsic,notation struggle,neg,real,english,"I am taking statistics from her, which is like a foreign language to begin with",train,7
00008,intrinsic,notation struggle,neg,real,english,It's like calculus with complex numbers.,waterloo,8
00009,intrinsic,notation struggle,neg,real,english,"The math involved in this course may not be difficult but when the formulas and constants aren't explained well, it is impossible to do.",waterloo,9
00010,intrinsic,notation struggle,neg,real,english,"Try to be a little flexible with your understanding of BEDMAS, as Legge sometimes doesn't follow it (for example, in one assignment, he claimed ab/cd == ab/(cd))",waterloo,10
00011,intrinsic,notation struggle,neg,real,english,Pretty much the entire course is about random variables. The content gets a bit dry after awhile.,waterloo,11
00012,intrinsic,notation struggle,neg,real,english,getting used to the whole dev c++ environment and debugging compiler errors is daunting for someone who hasn't programmed before. Make sure one of your friends is really good at programming.,waterloo,12
00013,intrinsic,notation struggle,neg,real,english,The concept checks start off easy but then get a lot more complex due to all the string and list methods we use.,waterloo,13
00014,intrinsic,notation struggle,neg,real,english,"The C questions are a lot more doable, but beware of the memory and pointer stuff, or your program won't even compile.",waterloo,14
00015,intrinsic,notation struggle,neg,real,english,"You won't lose points on exams because you can't do algorithms, but because you forgot to include <stdio.h> or include const or forget a semi-colon.",waterloo,15
00016,intrinsic,notation struggle,neg,real,english,"Make you sure you have C memory model and pointers down cold. Also, get good at reading complex C declarations using the right-left rule because they will throw some seemingly-random gibberish like char (*(*x())[5])(); at you.",waterloo,16
00017,intrinsic,notation struggle,neg,real,english,Literally makes you prove using summations and stuff that a nested for-loop is O(n^2).,waterloo,17
00018,intrinsic,notation struggle,neg,real,english,"Taught in a very functional-programming way, which made it difficult for me (I didn't learn Scheme).",waterloo,18
00019,intrinsic,notation struggle,neg,real,english,"I went into the course without any prior knowledge and it definitely was hard learning both Scala, MIPS and computer architecture at the same time.",waterloo,19
00020,intrinsic,notation struggle,neg,real,english,Recently switched to Javascript + HTML + CSS instead of Java. The assignments can be difficult for people who do not have experiences with front-end web development and are too lazy to take the time to learn it.,waterloo,20
00021,intrinsic,notation struggle,neg,real,english,"Pretty light course when I took it, although you had to write a fair amount of SQL queries which could be tough for someone new to it.",waterloo,21
00022,intrinsic,notation struggle,neg,real,english,"In my offering, the paper assignments were proof-centric and the programming assignments made use of the C socket API, which takes some time to get used to",waterloo,22
00023,intrinsic,notation struggle,neg,real,english,Biggest negative is uC++ - you'll lose serious marks if you don't memorize the syntax and peculiarities of this toy language that literally nobody uses for real work.,waterloo,23
00024,intrinsic,notation struggle,neg,real,english,"The syntax is pretty bad, and there is essentially no documentation or help out there except for the documentation our professor has.",waterloo,24
00025,intrinsic,notation struggle,neg,real,english,"While most of the theory taught in this course is useful, a large amount of time is devoted to uC++, an extension to C++ that appears to have no users outside Waterloo. Memorizing an API that you will never use again is a waste of time. This course could easily be taught with standard languages, and would be much improved.",waterloo,25
00026,intrinsic,notation struggle,neg,real,english,"I got so lost when the professor started writing all those upside down A's and backward E's on the board, it felt like looking at a completely different language.",,26
00027,intrinsic,notation struggle,neg,real,english,The code on the slides had so many nested brackets and parentheses that I couldn't even tell which function belonged to what anymore.,,27
00028,intrinsic,notation struggle,neg,real,english,"I always get confused with the arrows and asterisk symbols when we trace the memory addresses, it literally looks like pure gibberish when written down.",,28
00029,intrinsic,notation struggle,neg,real,english,Writing the actual step-by-step logic in formal math symbols for our homework is way harder than just explaining the solution in normal words.,,29
00030,intrinsic,notation struggle,neg,real,english,My brain hurts trying to read the state transition tables because all the weird Greek letters and inputs just blend together into a giant wall of text.,,30
00031,intrinsic,notation struggle,neg,real,english,The syntax for the assembly instructions in our class is so abstract that I keep mixing up the registers and the actual values.,,31
00032,intrinsic,notation struggle,neg,real,english,I keep losing points because I always miss a semicolon or misplace a curly brace somewhere in my code block.,,32
00033,intrinsic,notation struggle,neg,real,english,The way the professor writes the database schema definitions with all those underlines and dashed lines makes it so hard to figure out which one is the foreign key.,,33
00034,intrinsic,notation struggle,neg,real,english,Trying to parse the regular expression patterns is impossible because it just looks like someone smashed their hands on the keyboard.,,34
00035,intrinsic,notation struggle,neg,real,english,"I understand the main concept of the lesson, but the mathematical notation used for the probability distributions completely throws me off during exams.",,35
00036,intrinsic,notation struggle,neg,real,english,The syntax for declaring multi-dimensional arrays and passing them to functions is so overly complicated that my code never compiles on the first try.,,36
00037,intrinsic,notation struggle,neg,real,english,I spent hours trying to decode what the math symbols in the formulas meant before I could even start solving the actual problem set.,,37
00038,intrinsic,notation struggle,neg,real,english,The professor uses so many strange abbreviations and formal notations on the whiteboard that my notes look like a bunch of random hieroglyphics.,,38
00039,intrinsic,notation struggle,neg,real,english,Understanding the grammar rules for the compiler design lecture is so brutal because the arrows and pipes format is highly confusing to read.,,39
00040,intrinsic,notation struggle,neg,real,english,I hate how a single misplaced dot or arrow operator in our exercises can instantly break the entire script.,,40
00041,intrinsic,notation struggle,neg,real,english,"The logical equivalence proofs in are so tedious because if you mess up one tiny shorthand symbol at the start, everything else goes wrong.",,41
00042,intrinsic,notation struggle,neg,real,english,I got a low score on the quiz because I couldn't properly read the formal definition of the algorithm written in that weird pseudo-code style.,,42
00043,intrinsic,notation struggle,neg,real,english,It takes me forever to understand the summation and big O notation formulas on the presentation slides because they look so intimidating.,,43
00044,intrinsic,notation struggle,neg,real,english,The calculus symbols used to explain the neural network weights in our machine learning topic just made the whole lesson ten times more complicated.,,44
00045,intrinsic,notation struggle,neg,real,english,I always get mixed up with the logical operators like the ampersands (&) and vertical bars (|) when we do complex conditional statements.,,45
00046,intrinsic,notation struggle,neg,real,english,Reading the formal grammar notation makes me want to drop the class because the syntax is just so counter-intuitive.,,46
00047,intrinsic,notation struggle,neg,real,english,The way the professor writes out the pointer arithmetic on the whiteboard makes it look like a math problem instead of an actual coding lesson.,,47
00048,intrinsic,notation struggle,neg,real,english,I struggled so much with the relational algebra symbols because the symbols look way too similar to each other.,,48
00049,intrinsic,notation struggle,neg,real,english,The bitwise shift symbols in our information security exercises are so confusing to track when they are all chained together in one single line.,,49
00050,intrinsic,notation struggle,neg,real,english,Trying to memorize the exact formatting and structural syntax for the configuration files is honestly a nightmare.,,50
00051,intrinsic,notation struggle,neg,real,english,CNT101 is so abstract because the formulas just pop out of nowhere without any explanation on how to use them.,,51
00052,intrinsic,notation struggle,neg,real,english,I don't get why we are using such an old programming language for CSP107 that doesn't even have modern documentation online.,,52
00053,intrinsic,notation struggle,neg,real,english,The instructor just copies long mathematical proofs on the whiteboard and expects us to automatically memorize the variables.,,53
00054,intrinsic,notation struggle,neg,real,english,It feels like we are doing advanced physics with all these unexplained constants thrown into the coding logic.,,54
00055,intrinsic,notation struggle,neg,real,english,The manual given to us uses weird symbols that the professor never bothers to define during the discussion.,,55
00056,intrinsic,notation struggle,neg,real,english,CSP106 is basically a math class disguised as a tech course but the equations are never broken down properly.,,56
00057,intrinsic,notation struggle,neg,real,english,We spent the whole afternoon staring at a wall of code filled with shorthand terms that look like a foreign language.,,57
00058,intrinsic,notation struggle,neg,real,english,The slides for this subject are just screenshots of an old textbook from the nineties that makes zero sense today.,,58
00059,intrinsic,notation struggle,neg,real,english,I am drowning in all these complex algorithms because the step-by-step process is skipped entirely.,,59
00060,intrinsic,notation struggle,neg,real,english,The teacher keeps using jargon from his previous industry job that none of us undergrads have ever heard of.,,60
00061,intrinsic,notation struggle,neg,real,english,Trying to solve the exercises in this module is impossible since the basic rules were never taught to us.,,61
00062,intrinsic,notation struggle,neg,real,english,The notations used in the homework are completely different from the ones showed during the actual meeting.,,62
00063,intrinsic,notation struggle,neg,real,english,It is like trying to read a script written in ancient hieroglyphics because the syntax is just so messy and outdated.,,63
00064,intrinsic,notation struggle,neg,real,english,They are forcing us to use a command line tool that has a super confusing interface and no guide at all.,,64
00065,intrinsic,notation struggle,neg,real,english,The lecture went straight to the hard computations without explaining what the base numbers represent.,,65
00066,intrinsic,notation struggle,neg,real,english,The diagrams on the board look like giant spiderwebs with random lines and letters that do not connect.,,66
00067,intrinsic,notation struggle,neg,real,english,I am so lost because the logic gates are presented with no practical context on how they actually work.,,67
00068,intrinsic,notation struggle,neg,real,english,The reference material for this code uses a syntax that throws errors even when you copy it exactly.,,68
00069,intrinsic,notation struggle,neg,real,english,We are being tested on heavy theory that requires a lot of deep arithmetic we never practiced in class.,,69
00070,intrinsic,notation struggle,neg,real,english,The powerpoint is just a wall of text with weird abbreviations like it was written in code itself.,,70
00071,intrinsic,notation struggle,neg,real,english,He keeps mentioning these advanced structural rules but never shows an actual example of how to write it.,,71
00072,intrinsic,notation struggle,neg,real,english,The entire lesson felt like a massive data dump of terms that were never clearly separated from each other.,,72
00073,intrinsic,notation struggle,neg,real,english,I cannot follow the logic behind the steps because the professor just jumps from the problem straight to the answer.,,73
00074,intrinsic,notation struggle,neg,real,english,The functions we are studying use a naming convention that is so confusing it makes my head ache.,,74
00075,intrinsic,notation struggle,neg,real,english,It is hard to do the project when the underlying matrix operations are left completely unexplained by the instructor.,,75
00076,intrinsic,notation struggle,neg,augmented,tagalog,handwritten overheads yung ginamit buong quarter na may mga abbreviation eh wala namang nakakaintindi noon,,1
00077,intrinsic,notation struggle,neg,augmented,tagalog,"di ko masyado nagustuhan yung course na to. kahit organized, nakakainis pa rin gamitin ang Racket. ang pakinabang ko lang dito ay mas naging komportable ako sa recursion",,2
00078,intrinsic,notation struggle,neg,augmented,tagalog,tinuro yung course sa language na wala namang gumagamit o nakakaintindi,,3
00079,intrinsic,notation struggle,neg,augmented,tagalog,"nakakainis, lagi na lang kailangan gawin yung design recipe, lalo yung pagsulat ng paliwanag para sa mga code. walang loop sa DrRacket kaya need talagang maintindihan recursion",,4
00080,intrinsic,notation struggle,neg,augmented,tagalog,"bro, ayaw ko talaga sa design recipe, bawas score nang wala namang dahilan!",,5
00081,intrinsic,notation struggle,neg,augmented,tagalog,"hirap naman ng course na to, lalo kung walang experience sa pagsulat ng formal proofs",,6
00082,intrinsic,notation struggle,neg,augmented,tagalog,"statistics kinukuha ko sa kanya, para lang foreign language eh",,7
00083,intrinsic,notation struggle,neg,augmented,tagalog,parang calculus lang na may complex numbers,,8
00084,intrinsic,notation struggle,neg,augmented,tagalog,"hindi naman mahirap ang math sa kursong 'to, kaso kapag hindi maayos na naipapaliwanag ang mga formula at constants, imposibleng sagutan mga problem",,9
00085,intrinsic,notation struggle,neg,augmented,tagalog,"try mo maging medyo flexible sa pag-intindi sa BEDMAS, minsan kansi hindi sinusunod ni Legge, like, sa isang assignment, sinabi niyang ab/cd == ab/(cd)",,10
00086,intrinsic,notation struggle,neg,augmented,tagalog,halos tungkol sa random variables lang ang buong kurso. medyo boring na content pagtagal,,11
00087,intrinsic,notation struggle,neg,augmented,tagalog,nakakatakot pag di pa sanay sa Dev C++ environment at mag-ayos ng compiler errors. siguraduhin mong may isa sa mga kaibigan mong magaling,,12
00088,intrinsic,notation struggle,neg,augmented,tagalog,madali lang sa simula yung mga concept check kaso nagiging mas kumplikado sa dami ng string at list methods na ginagamit namin,,13
00089,intrinsic,notation struggle,neg,augmented,tagalog,"mas madaling gawin yung mga C questions, pero ingat sa memory at pointer stuff kasi baka di gumana program mo",,14
00090,intrinsic,notation struggle,neg,augmented,tagalog,"hindi ka mawawalan ng puntos sa exams kasi hindi mo kayang gumawa ng algorithms, kundi dahil nakalimutan mong ilagay ang <stdio.h>, isama ang const, o maglagay ng semi-colon",,15
00091,intrinsic,notation struggle,neg,augmented,tagalog,siguraduhin mong kabisado mo C memory model at pointers. tapos magaling ka rin dapat magbasa ng C declarations gamit ang right-left rule kasi bibigyan ka nila ng mga random na gibberish tulad ng char (*(*x())[5])();,,16
00092,intrinsic,notation struggle,neg,augmented,tagalog,literal na pinapapatunayan gamit ang summations at iba pa na ang nested for-loop ay O(n^2),,17
00093,intrinsic,notation struggle,neg,augmented,tagalog,focused sa functional programming yung pagtuturo kaya nahirapan ako kasi di naman ako natuto ng Scheme,,18
00094,intrinsic,notation struggle,neg,augmented,tagalog,"pumasok ako sa course na to nang wala namang alam at mahirap talaga matutunan nang sabay ang Scala, MIPS, at computer architecture",,19
00095,intrinsic,notation struggle,neg,augmented,tagalog,kakalipat ko lang sa Javascript + HTML + CSS mula Java. baka mahirapan sa mga assignment kapag walang experience sa front-end web development at tamad mag-aral,,20
00096,intrinsic,notation struggle,neg,augmented,tagalog,medyo madaling course nung kinuha ko kahit kailangan magsulat ng marami-raming SQL queries na baka mahirap para sa beginners,,21
00097,intrinsic,notation struggle,neg,augmented,tagalog,"sa section ko, focused ang mga paper assignment sa proofs tapos C socket API naman gamit sa programming assignments, na kailangan ng ilang oras para masanay",,22
00098,intrinsic,notation struggle,neg,augmented,tagalog,pinakamalaking problema ko ay uC++—malaki mawawalang score kung di mo kabisado yung syntax ng language na ito na wala namang gumagamit sa industry,,23
00099,intrinsic,notation struggle,neg,augmented,tagalog,medyo pangit yung syntax at halos walang tulong na makukuha bukod sa documentation ng professor namin,,24
00100,intrinsic,notation struggle,neg,augmented,tagalog,"maraming useful theory na itinuturo, kaso mahabang time ay spent sa uC++, extension ng C++ na parang wala namang gumagamit outside ng Waterloo. sayang sa oras pagkabisado ng API na di mo na naman gagamitin ulit. mas madali at maganda sanang yung course na 'to kung standard language and ginamit sa pagtuturo",,25
00101,intrinsic,notation struggle,neg,augmented,tagalog,"nalito ako noong nagsimulang magsulat ang professor ng mga baligtad na A at E sa board, parang kakaibang language lang eh",,26
00102,intrinsic,notation struggle,neg,augmented,tagalog,daming magkakasunod na bracket at parentheses sa code sa slides kaya di ko na malaman kung aling function ang kabilang sa alin,,27
