,abstract logic gap,clarity deficit,classroom tension,conceptual misalignment,design synthesis failure,evaluation unfairness,feedback latency,instructional cadence,notation struggle,peer distraction,perceived marginalization,procedural bottleneck,relational coldness,subject alienation,uncategorized
abstract logic gap,62,1,3,3,2,0,0,1,0,0,0,2,0,2,1
clarity deficit,0,42,0,1,0,1,1,2,0,0,2,1,0,1,2
classroom tension,0,1,34,0,0,0,1,0,0,2,3,0,6,1,3
conceptual misalignment,2,1,0,63,3,0,1,0,0,0,1,0,0,0,0
design synthesis failure,2,1,2,1,67,0,0,0,1,0,1,0,0,1,1
evaluation unfairness,0,1,1,0,1,40,0,0,1,0,2,0,0,0,1
feedback latency,0,1,0,0,0,3,39,0,0,0,0,0,0,1,3
instructional cadence,0,3,0,0,0,0,1,42,0,0,0,0,0,0,4
notation struggle,12,1,2,3,0,0,0,0,60,1,0,3,0,1,0
peer distraction,0,1,1,0,0,0,0,2,0,43,0,0,0,1,1
perceived marginalization,0,3,1,0,0,2,2,0,0,0,43,0,3,1,1
procedural bottleneck,1,0,0,0,1,1,0,0,0,0,0,69,0,0,0
relational coldness,0,0,6,0,0,0,1,3,0,0,3,0,36,2,0
subject alienation,5,1,1,0,1,0,0,0,0,1,0,0,4,37,0
uncategorized,1,5,5,1,2,0,0,2,2,1,0,0,2,1,175
