,abstract logic gap,clarity deficit,classroom tension,conceptual misalignment,design synthesis failure,evaluation unfairness,feedback latency,instructional cadence,notation struggle,peer distraction,perceived marginalization,procedural bottleneck,relational coldness,subject alienation,uncategorized
abstract logic gap,61,0,0,2,1,1,0,0,3,0,0,6,1,2,0
clarity deficit,3,35,0,2,1,2,2,0,1,2,0,1,1,3,0
classroom tension,0,0,37,0,0,0,0,1,0,3,5,0,4,0,1
conceptual misalignment,0,2,0,65,2,0,0,0,0,0,1,0,0,1,0
design synthesis failure,1,0,1,0,68,0,0,0,1,0,0,4,0,1,1
evaluation unfairness,1,0,2,0,1,36,0,0,0,0,1,2,3,0,1
feedback latency,0,1,0,0,1,0,40,0,0,0,4,0,1,0,0
instructional cadence,0,2,1,1,0,3,1,41,0,0,0,0,0,0,1
notation struggle,11,0,0,4,0,0,0,0,67,0,0,0,0,1,0
peer distraction,0,1,1,0,0,0,1,0,0,45,0,0,0,0,1
perceived marginalization,0,1,2,0,1,0,3,2,0,0,44,0,3,0,0
procedural bottleneck,4,0,0,1,0,0,0,1,0,0,0,66,0,0,0
relational coldness,0,0,4,0,0,0,2,0,0,1,4,0,38,2,0
subject alienation,7,1,0,0,0,0,0,0,0,0,3,0,2,37,0
uncategorized,2,2,7,1,0,2,1,0,2,2,0,1,2,0,175
