,abstract logic gap,clarity deficit,classroom tension,conceptual misalignment,design synthesis failure,evaluation unfairness,feedback latency,instructional cadence,notation struggle,peer distraction,perceived marginalization,procedural bottleneck,relational coldness,subject alienation,uncategorized
abstract logic gap,69,0,1,2,0,0,0,1,2,0,0,1,0,1,0
clarity deficit,3,35,2,1,0,1,1,1,1,1,1,0,1,2,3
classroom tension,1,0,40,0,0,2,0,1,0,1,2,0,1,1,2
conceptual misalignment,3,0,0,59,5,0,0,0,2,0,1,0,0,1,0
design synthesis failure,4,0,1,0,67,0,1,0,0,0,0,1,0,3,0
evaluation unfairness,2,0,0,0,1,37,1,0,1,1,2,0,0,1,1
feedback latency,0,1,0,1,0,2,38,1,1,0,0,0,1,0,2
instructional cadence,2,1,0,2,2,0,1,39,0,0,0,1,0,0,2
notation struggle,3,1,0,2,2,0,1,1,66,1,0,4,0,1,1
peer distraction,1,0,0,0,1,0,0,2,0,44,1,0,0,0,0
perceived marginalization,0,2,5,0,1,2,2,1,0,1,37,0,2,2,1
procedural bottleneck,0,0,0,1,2,0,0,1,0,0,0,68,0,0,0
relational coldness,0,0,3,0,0,0,5,1,0,1,3,1,33,4,0
subject alienation,3,2,0,0,0,1,0,1,0,0,1,0,2,37,3
uncategorized,1,1,4,4,0,0,2,1,0,1,0,0,1,3,179
