,abstract logic gap,clarity deficit,classroom tension,conceptual misalignment,design synthesis failure,evaluation unfairness,feedback latency,instructional cadence,notation struggle,peer distraction,perceived marginalization,procedural bottleneck,relational coldness,subject alienation,uncategorized
abstract logic gap,54,2,0,2,3,0,0,1,5,0,1,7,0,1,1
clarity deficit,1,39,0,1,1,2,2,1,1,1,1,0,1,2,0
classroom tension,0,0,36,0,0,1,1,0,0,5,3,0,5,0,0
conceptual misalignment,0,3,0,62,3,0,0,0,0,0,0,1,0,1,1
design synthesis failure,1,0,0,0,63,0,0,0,1,0,1,8,0,2,1
evaluation unfairness,0,1,3,2,3,33,2,0,0,0,0,1,1,0,1
feedback latency,0,2,0,0,0,1,41,0,0,0,0,0,3,0,0
instructional cadence,0,2,0,0,0,3,4,39,0,0,0,1,0,0,1
notation struggle,8,0,0,5,0,0,0,0,68,1,1,0,0,0,0
peer distraction,0,1,2,0,0,0,0,1,0,45,0,0,0,0,0
perceived marginalization,0,1,3,1,1,1,4,1,0,0,43,0,1,0,0
procedural bottleneck,0,0,0,0,5,0,0,2,0,0,0,65,0,0,0
relational coldness,0,3,5,0,1,1,3,1,0,1,1,0,32,1,2
subject alienation,5,3,1,0,2,1,0,0,0,0,4,0,1,32,1
uncategorized,3,4,6,1,0,2,1,1,0,2,0,1,0,1,175
