model,task,label,precision,recall,f1
distilxlmr,issue,abstract logic gap,0.6667,0.7792,0.7186
distilxlmr,issue,clarity deficit,0.7447,0.6604,0.7
distilxlmr,issue,classroom tension,0.6909,0.7451,0.717
distilxlmr,issue,conceptual misalignment,0.8228,0.9155,0.8667
distilxlmr,issue,design synthesis failure,0.8933,0.8701,0.8816
distilxlmr,issue,evaluation unfairness,0.8182,0.766,0.7912
distilxlmr,issue,feedback latency,0.7692,0.8511,0.8081
distilxlmr,issue,instructional cadence,0.9302,0.8,0.8602
distilxlmr,issue,notation struggle,0.8904,0.7831,0.8333
distilxlmr,issue,peer distraction,0.8462,0.898,0.8713
distilxlmr,issue,perceived marginalization,0.7143,0.8036,0.7563
distilxlmr,issue,procedural bottleneck,0.8125,0.9028,0.8553
distilxlmr,issue,relational coldness,0.7308,0.7451,0.7379
distilxlmr,issue,subject alienation,0.7826,0.72,0.75
distilxlmr,issue,uncategorized,0.9667,0.8832,0.9231
distilxlmr,issue,macro,0.8053,0.8082,0.8047
distilxlmr,polarity,neg,0.9868,0.9847,0.9857
distilxlmr,polarity,neu,0.8833,0.8548,0.8689
distilxlmr,polarity,pos,0.8833,0.9464,0.9138
distilxlmr,polarity,macro,0.9178,0.9286,0.9228
distilxlmr_fp32,issue,abstract logic gap,0.6778,0.7922,0.7305
distilxlmr_fp32,issue,clarity deficit,0.7778,0.6604,0.7143
distilxlmr_fp32,issue,classroom tension,0.6727,0.7255,0.6981
distilxlmr_fp32,issue,conceptual misalignment,0.8553,0.9155,0.8844
distilxlmr_fp32,issue,design synthesis failure,0.9067,0.8831,0.8947
distilxlmr_fp32,issue,evaluation unfairness,0.8182,0.766,0.7912
distilxlmr_fp32,issue,feedback latency,0.8,0.8511,0.8247
distilxlmr_fp32,issue,instructional cadence,0.9111,0.82,0.8632
distilxlmr_fp32,issue,notation struggle,0.9054,0.8072,0.8535
distilxlmr_fp32,issue,peer distraction,0.8491,0.9184,0.8824
distilxlmr_fp32,issue,perceived marginalization,0.7097,0.7857,0.7458
distilxlmr_fp32,issue,procedural bottleneck,0.825,0.9167,0.8684
distilxlmr_fp32,issue,relational coldness,0.6909,0.7451,0.717
distilxlmr_fp32,issue,subject alienation,0.7872,0.74,0.7629
distilxlmr_fp32,issue,uncategorized,0.9722,0.8883,0.9284
distilxlmr_fp32,issue,macro,0.8106,0.8143,0.8106
distilxlmr_fp32,polarity,neg,0.9868,0.9836,0.9852
distilxlmr_fp32,polarity,neu,0.8548,0.8548,0.8548
distilxlmr_fp32,polarity,pos,0.8983,0.9464,0.9217
distilxlmr_fp32,polarity,macro,0.9133,0.9283,0.9206
mbert,issue,abstract logic gap,0.7294,0.8052,0.7654
mbert,issue,clarity deficit,0.6774,0.7925,0.7304
mbert,issue,classroom tension,0.6071,0.6667,0.6355
mbert,issue,conceptual misalignment,0.875,0.8873,0.8811
mbert,issue,design synthesis failure,0.8701,0.8701,0.8701
mbert,issue,evaluation unfairness,0.8511,0.8511,0.8511
mbert,issue,feedback latency,0.8478,0.8298,0.8387
mbert,issue,instructional cadence,0.8077,0.84,0.8235
mbert,issue,notation struggle,0.9375,0.7229,0.8163
mbert,issue,peer distraction,0.8958,0.8776,0.8866
mbert,issue,perceived marginalization,0.7818,0.7679,0.7748
mbert,issue,procedural bottleneck,0.92,0.9583,0.9388
mbert,issue,relational coldness,0.7059,0.7059,0.7059
mbert,issue,subject alienation,0.7551,0.74,0.7475
mbert,issue,uncategorized,0.9115,0.8883,0.8997
mbert,issue,macro,0.8116,0.8136,0.811
mbert,polarity,neg,0.9878,0.977,0.9824
mbert,polarity,neu,0.7941,0.871,0.8308
mbert,polarity,pos,0.85,0.9107,0.8793
mbert,polarity,macro,0.8773,0.9196,0.8975
svm,issue,abstract logic gap,0.75,0.8961,0.8166
svm,issue,clarity deficit,0.814,0.6604,0.7292
svm,issue,classroom tension,0.7143,0.7843,0.7477
svm,issue,conceptual misalignment,0.8194,0.831,0.8252
svm,issue,design synthesis failure,0.8272,0.8701,0.8481
svm,issue,evaluation unfairness,0.8222,0.7872,0.8043
svm,issue,feedback latency,0.7308,0.8085,0.7677
svm,issue,instructional cadence,0.7647,0.78,0.7723
svm,issue,notation struggle,0.9041,0.7952,0.8462
svm,issue,peer distraction,0.8627,0.898,0.88
svm,issue,perceived marginalization,0.7708,0.6607,0.7115
svm,issue,procedural bottleneck,0.8947,0.9444,0.9189
svm,issue,relational coldness,0.8049,0.6471,0.7174
svm,issue,subject alienation,0.6607,0.74,0.6981
svm,issue,uncategorized,0.9227,0.9086,0.9156
svm,issue,macro,0.8042,0.8008,0.7999
svm,polarity,neg,0.9796,0.9989,0.9892
svm,polarity,neu,1.0,0.7742,0.8727
svm,polarity,pos,0.9615,0.8929,0.9259
svm,polarity,macro,0.9804,0.8887,0.9293
